"id","commision","net_sales"
12387,0,57
12085,12.94,51.75
52625,22,88
11950,0,20
107,5.98,21.35
9949,27.55,94.75
15252,0,19
34749,3.38,13.5
28005,0,28
56805,27.55,94.75
18801,27.55,94.75
40800,0,20
48567,0,18
28281,6.3,18
58941,10.5,30
47490,0,64
24428,0,27
38845,27.55,89.1
62543,12.25,35
62569,4,16
14330,6,15
53095,10.64,28
62233,5.63,22.5
46243,7.7,22
51699,0,82
38065,6,15
52538,0,13
49279,0,16
14447,0,76
38140,17.82,29.7
8159,0,0
18289,27.55,94.75
62981,27.55,94.75
18075,0,80
45325,5,20
3856,0,16
26050,27.25,94.75
62236,7.25,29
31870,0,20
33025,3.38,13.5
53368,27.55,94.75
26377,5.94,9.9
50481,24,0
23536,11.55,33
14891,0,30
9322,0,20
14040,0,37
29642,27.55,94.75
20970,27.55,59.4
16636,0,23
24958,0,20
61638,4,16
16296,0,22
47372,11.55,33
15985,0,36
15178,0,53
29433,15.88,63.5
34090,0,22
33341,0,20
40426,5.94,9.9
16566,9.1,26
18642,0,24
54992,27.55,94.75
28767,3.75,15
6021,0,94.75
24164,15.93,63.7
35209,27.55,94.75
27389,0,29
34308,0,30
41898,0,87
7233,27.55,72
58723,0,46
20859,0,10
46704,12.25,35
10958,11.88,19.8
56506,8.38,33.5
3083,0,20
39699,6.25,25
28956,17.82,29.7
41232,4.65,13.28
61634,8.38,33.5
46594,0,52
48226,9.75,39
29558,0,23
39597,0,39
39371,0,76
29220,2.88,11.5
36469,0,25
60959,0,10
29326,0,10
14779,6.3,18
19243,0,94.75
44464,27.55,89.1
40999,0,15
41260,27.55,94.75
14906,0,67
60797,0,40
35733,0,36
34552,12.95,37
34268,0,13
52635,27.55,94.75
36431,27.55,94.75
60592,10.5,30
28160,0,26
20090,9.57,29
513,0,10
6693,9.1,26
56066,27.55,67
12185,0,57
48460,27.55,94.75
24973,27.55,94.75
14251,0,15
51490,5.63,22.5
10804,0,94.75
21757,27.55,89.1
20404,0,67
16510,0,38
63048,0,10
12872,0,17
2615,0,0
13172,12.25,35
21083,0,80
43551,0,94.75
29289,0,27
49158,19.6,56
25878,23.76,39.6
31057,23.76,39.6
46373,0,46
10726,9.1,26
36270,3.38,13.5
10245,0,84
40210,15.75,45
24312,0,10
3193,5.75,23
56438,27.3,42
9686,5.63,22.5
32172,11.55,33
53337,5.25,21
44174,0,80
41070,17.82,29.7
55924,27.55,94.75
26897,27.55,94.75
8019,0,20
43096,0,31
60502,0,10
49435,27.55,94.75
60153,0,28
6848,2.95,10.53
33439,4.63,18.5
19633,15.4,44
57833,0,63
6299,0,12
31866,0,25
57457,0,17
58118,0,61
56598,0,12
47160,10.5,30
24295,0,74
53919,6,15
49175,4,16
13279,0,54
43344,7.7,22
35050,10.5,30
60574,9.1,26
44105,0,43
11558,0,12
3085,0,63
54461,0,16
16738,0,41
601,18.56,74.25
19022,17.82,29.7
10315,0,22
35514,0,63
42348,0.37,1.32
28092,13.38,53.5
21009,0,21
44782,27.55,94.75
53334,4,16
57337,11.7,46.8
60306,27.55,94.75
24707,0,20
39473,11.75,47
57064,0,18
25545,0,45
60345,0,26
53581,4,16
47622,27.55,49.5
41462,17.82,29.7
21721,27.55,94.75
51759,0,10
47448,0,20
60031,6.63,26.5
2660,0,47
41971,6.3,18
15926,2,7.15
43217,9.75,39
26844,0,14
13057,0,37
38352,27.55,59.4
15108,27.55,94.75
40404,17.82,29.7
37148,23.76,39.6
47586,27.55,94.75
26555,23.76,39.6
59418,0,50
51672,27.55,94.75
54295,0,35
23466,0,38
48546,0,44
16943,0,13
17574,27.55,94.75
62330,0,24
31157,6,15
47253,17.82,29.7
6428,0,39
4893,0,75
56197,0,42
30489,27.55,94.75
48068,0,94.75
20344,20.64,82.55
49361,7.7,22
61406,15.75,45
13624,0,20
48117,0,12
3760,9.57,29
21957,27.55,94.75
15977,17.82,29.7
26379,27.55,59.4
2408,0,30
5012,0,29
19899,27.55,69.3
36777,9.25,37
21576,0,10
27891,27.55,94.75
10580,8.63,34.5
15602,0,94.75
6316,0,47
11946,0,94.75
4224,0,46
46752,15.5,62
50743,10.5,30
55074,0,10
60771,27.55,94.75
55912,5.63,22.5
47892,0,80
4405,7.7,22
15613,0,40
61360,0,43
21668,0.22,0.77
39036,17.82,29.7
12862,0,10
4967,0,0
12572,0,27
49553,9.1,26
23995,27.55,79.2
51363,0,20
53717,0,80
52494,0,17
32513,3.75,15
1551,12.4,31
45761,0,45
6352,0,94.75
59647,2.81,10.04
21755,27.55,69.3
9338,0,83
2738,27.55,69.3
45326,8.38,33.5
30192,0,73
19927,0,25
17008,6.3,18
54979,12.13,48.5
53001,27.55,0
26088,0,24
16082,0,41
49730,7.7,22
36032,18.85,29
52438,23.76,39.6
11966,0,66
48257,27.55,49.5
52618,5.63,22.5
45390,0,84
33113,0,10
6171,6.3,18
56669,11.02,29
1820,0,93
57860,0,50
45443,0,63
24884,0,15
19072,0,90
19660,27.55,94.75
26968,0,47
34394,27.55,94.75
14539,0,20
15088,0.49,1.77
54844,0,37
28063,12.95,37
56305,27.55,0
57749,14.13,56.5
49719,27.55,94.75
20328,12.25,0
6669,0,15
40189,10.64,28
16001,0,61
60536,0,20
51965,0,80
10927,19.6,56
6491,0,41
10174,7.7,22
29322,0,16
39705,10.25,41
63151,0,10
54492,27.55,83
25105,2.38,8.49
61346,0,27
13252,0,59
60319,0,55
43085,27.55,69.3
21733,27.55,59.4
51997,0,41
27388,0,14
18064,0,14
28768,13.63,54.5
42960,0,10
10382,7.7,22
13306,0,10
47287,0,33
26717,17.82,29.7
58004,6.75,27
36079,27.55,87
49798,0,20
55214,27.55,79.2
55268,0,15
8044,0,80
30807,0,37
42816,4,16
10305,0,80
35887,3.75,15
29181,0,24
35709,27.55,49.5
36825,0,20
49673,0,11
10591,27.55,0
6525,0,20
37584,13.38,53.5
15671,0,25
54358,27.55,94.75
33745,0,24
14165,0,26
42499,0,11
24877,0,10
32683,6,15
28166,0,38
55407,17.82,29.7
1368,15.6,39
2262,0,76
24286,0,66
19152,0,10
43287,0,18
43956,0,37
48268,0,20
6558,15.4,44
6614,0,41
43219,7.25,29
45638,0,23
55800,0,33
8289,9.1,26
6409,27.55,49.5
30709,27.55,49.5
46807,0,94.75
41198,0,20
8549,0,24
47975,10.5,30
23336,27.55,94.75
3109,0,11
58436,0,57
35849,11.75,47
51057,0,58
47061,0,41
54249,0,20
5653,0,55
22075,0,10
10519,0,15
6768,0,20
35645,7.38,29.5
39005,27.55,94.75
3249,0,12
48949,10.5,30
40398,15.5,62
52973,27.55,94.75
42182,17.38,69.5
46615,0,10
4381,0,10
37332,4.63,18.5
45312,24.75,94.75
1667,0,40
25575,0,17
59232,0,20
26945,0,20
46831,0,16
37204,0,15
15076,0,20
9203,0,10
40279,0,87
29423,18,72
61349,0,72
29485,0,92
27606,17.82,0
25433,9.1,26
49786,0,20
47339,12.4,31
53730,0,16
29963,27.55,94.75
46842,0,80
59221,0,41
45209,0,72
16128,12.95,37
10357,1.06,3.79
33107,0,20
17692,0,17
39751,0,29
13038,0,52
16831,0,35
61998,4,16
54512,17.38,69.5
20776,8.78,35.1
4674,0,22
23991,17.82,29.7
35348,0,10
59592,0,94.75
6408,27.55,69.3
15518,5.94,0
50412,0,94.75
32214,4.63,18.5
23956,27.55,79.2
3952,0,20
11164,1.22,4.37
15350,0,24
18521,27.55,94.75
41909,0,80
28277,9.1,26
52877,0,20
39939,0,77
23929,6.3,18
13465,0,20
20109,27.55,94.75
52167,5.25,21
31722,0,94.75
37180,0,66
36755,25.25,94.75
15972,23.76,39.6
5828,0,20
63104,6.75,27
29691,0,44
7495,27.55,94.75
18034,0,70
33503,0,10
30300,27.55,94.75
31704,0,44
6760,0,94.75
846,0,26
55959,27.55,49.5
51387,0,37
62308,0,11
25799,0,14
58305,0,15
33645,27.55,59.4
36016,12.4,31
57738,9.75,39
37318,4.63,18.5
31691,27.55,79.2
8638,0,51
55718,5.25,21
51880,27.55,94.75
37508,0,20
8687,0.23,0.81
7860,0,70
58038,27.55,94.75
55416,27.55,59.4
10215,27.55,94.75
60028,4,16
41628,13.25,53
27102,27.55,94.75
4008,0,15
32316,0,20
51654,4.63,18.5
18442,0,38
48963,5.25,21
13360,0,31
19161,0,20
2017,0,10
18932,0,19
26142,0,10
2363,27.55,94.75
41299,0,20
37296,5.88,23.5
37452,10.5,30
57367,27.55,94.75
51797,10.64,28
27779,27.55,0
38292,7.38,29.5
60183,0,10
34606,17.82,29.7
3281,9.2,23
50179,12.25,35
32594,6.3,18
54211,27.55,94.75
14341,6.3,18
24674,0,10
50341,27.55,94.75
30536,27.55,94.75
27032,0,10
33690,0,36
10615,0,51
53211,0,45
3874,0,10
31213,6.25,25
2831,0,41
34782,27.55,59.4
1502,0,23
32456,0,14
18745,0,21
26027,7.7,22
4117,0,50
13272,0,42
55916,23.75,94.75
2581,0,28
61027,14.7,42
35501,0,35
59106,12.4,31
31022,4.25,17
63078,27.55,46.4
40520,6,15
33846,0,33
26669,0,20
61280,27.55,79.2
50307,27.55,94.75
29695,0,35
32270,0,86
24914,0,27
47465,0,35
60558,27.55,94.75
46120,27.55,79.2
38945,2.76,9.83
53993,4,16
31427,0,23
57175,26.4,94.75
49170,4,16
17563,27.55,94.75
842,0,94.75
58557,27.55,94.75
32530,5.94,9.9
45971,6.3,18
24839,0,37
15534,11.88,19.8
38104,3.38,13.5
56760,0,15
8864,0,10
62295,0,10
4069,27.55,94.75
32532,0,21
57587,0,46
7821,17.82,29.7
43865,12.13,48.5
60777,23.76,39.6
441,27.55,59.4
61729,0,20
38143,0,94.75
14097,0,26
6107,0,18
26398,27.55,49.5
25973,0,17
4443,0,30
22317,9.1,26
35267,27.55,94.75
31223,27.55,94.75
2619,0,22
2191,1.03,3.68
48791,7.7,22
50201,6.75,27
60559,12.4,31
33336,0,13
62007,27.55,94.75
45256,0,10
15891,0,10
16172,27.55,49.5
29302,0,88
4121,0,67
23690,0,23
1147,0,10
41143,0,75
886,0,10
2344,7.7,22
15946,27.55,94.75
34038,0,26
15217,0,34
37357,0,20
54191,20.38,81.5
60862,27.55,58.5
18107,6.3,18
8139,0,20
22203,0,24
51794,0,23
27882,11.75,47
59679,27.55,94.75
2684,0,38
53593,7.38,29.5
22147,5.85,23.4
25839,9.1,26
52256,0,40
36497,0,58
26115,0,48
45109,0,73
38999,12.38,49.5
33640,8.38,33.5
14469,0,10
39911,27.55,94.75
21936,20.3,58
37513,0,21
33962,7.38,29.5
32374,12.63,50.5
61292,0,20
41840,27.55,94.75
1909,0,10
27014,0,10
60766,8.38,33.5
25796,0,10
5542,0,10
11967,0,20
44325,0,20
11951,0,27
49924,27.55,94.75
2060,0,20
51886,27.55,69.3
35858,2.88,11.5
52951,21.5,86
8589,0,41
27702,0,10
35153,0,12
40441,0,20
29303,0,41
12705,27.55,94.75
39361,0,19
54006,15.75,63
53338,4,16
62665,0,20
38795,15.88,63.5
12736,0,41
9589,0,10
7430,0,20
22026,0,94.75
55561,6.3,25.2
28199,0,34
12683,10.5,30
43780,0,24
24348,7.7,22
10445,0,44
7908,0,80
44121,0,22
868,0,11
5743,0,10
13390,0,20
62926,9.1,26
45729,27.55,94.75
29447,27.55,94.75
6459,0,20
1207,7.7,22
18523,9.2,23
35429,5.75,23
24679,0,15
21122,0,20
58463,0,55
41931,0,15
29839,16.75,67
10044,0,0
26415,0,39
13328,0,80
35877,8.38,33.5
32365,13.38,53.5
28762,6.13,24.5
28872,0,56
37070,0,61
30160,27.55,94.75
45148,11.88,19.8
28207,0,12
60154,0,32
60634,27.55,94.75
1652,0,58
44219,15.75,45
18792,6.01,24.05
19318,0,20
16092,0,10
49469,0,20
31978,6.3,18
63052,0,17
20863,0,25
43365,6.75,27
58979,27.55,94.75
38060,0,20
63247,0,26
19893,27.55,69.3
46231,0,52
22682,5.53,22.1
41443,5.63,22.5
4688,0,20
9230,6,15
50644,0,28
10075,0,14
50560,23.76,39.6
17932,0,20
10796,0,39
6154,0,20
42799,7.7,22
13385,0,20
45872,27.55,94.75
61290,0,55
53550,12.6,36
15885,0,60
11780,0,18
31078,0,49
28715,27.55,94.75
47402,23.75,94.75
60145,0,65
46566,27.55,94.75
16905,0,80
32034,23.75,94.75
35459,8.88,35.5
25048,0,10
21044,0,94
10193,23.76,39.6
23803,27.55,0
30689,6.25,25
85,0,10
45583,11.88,19.8
14821,27.55,49.5
54427,0,35
6333,0,37
53485,0,10
37617,27.55,69.3
483,0,31
47852,0,54
57065,0,33
53997,3.38,13.5
45784,0,14
51912,0,29
38523,0,66
59680,27.55,94.75
29170,0,10
8417,0,21
42153,3.8,13.57
39328,0,43
33865,0,13
33909,0,94.75
530,0,13
47552,19.6,56
33437,6.13,24.5
29688,0,29
33832,0,39
60125,0,20
312,0,24
16047,0,77
11962,0,51
43932,0,20
24814,0,20
52735,0,80
43831,6.3,18
43680,9.75,39
3682,0,11
10313,0,12
14941,27.55,87
31945,0,23
40383,5.25,21
19176,12.95,37
63208,5.25,21
16529,0,68
52591,4,16
39311,17.82,29.7
6972,0,31
20671,0,16
26514,2.66,7.6
55112,6,15
25537,0,94.75
51475,8.1,32.4
7517,11.88,19.8
32914,0,22
42200,5.63,22.5
29428,27.55,94.75
11259,0,20
62964,5,20
6277,0,26
52619,12.13,48.5
37573,10.5,30
16803,27.55,94.75
60230,5,20
10155,15.4,44
28916,4.5,18
4507,0,19
15275,0,20
32618,27.55,69.3
26606,0,61
59454,0,14
49317,0,27
32838,2.88,11.5
40833,0,10
52696,0,26
5235,0,10
51478,8.38,33.5
46323,11.88,19.8
57806,0,94.75
3467,0,23
19543,0,40
28235,0,23
4095,0,20
42053,14.13,56.5
610,5.94,9.9
55008,17.82,29.7
35248,27.55,94.75
4535,7.7,22
47004,0,0
30132,7.7,22
24074,0,14
51921,0,94.75
1403,23.76,39.6
61989,6.75,27
22567,0,10
4486,0,10
20561,23.76,39.6
49231,0,20
17757,9.57,29
17129,0,37
5254,0,14
38766,14,40
1640,0,20
12959,15.75,45
36859,0,10
41059,9.75,39
3091,0,22
34707,0,20
33355,20,50
39277,27.55,94.75
60020,9.57,29
8766,0,69
61817,6.3,18
17816,0,21
52395,6.75,27
48582,0,10
21298,0,45
39085,0,10
40467,0,10
61253,27.55,94.75
52753,0,20
1371,14.44,38
30516,17.82,29.7
44342,0,22
28014,0,52
857,0,38
24369,14,40
35717,23.76,39.6
21084,0,12
6826,0,30
22873,7.47,29.9
25868,23.4,93.6
27689,0,0
33272,0,36
10538,0,30
41238,6.63,26.5
26549,23.76,39.6
23619,0,20
23352,5.94,9.9
13760,27.55,69.3
37879,0,20
10325,0,55
50998,0,25
50250,0,56
36714,12.4,31
3119,0,10
62847,27.55,94.75
55678,27.55,94.75
33366,20.3,58
55431,0,39
24524,7.7,22
20801,0,23
12602,0,80
25124,6.3,18
54762,5.63,22.5
48609,14,40
54677,27.55,94.75
26939,17.82,29.7
48878,0,59
39906,27.55,59.4
56736,0,94.75
53620,27.55,49.5
3653,0,20
27222,0,71
29626,10.38,41.5
58756,15.75,45
40232,4.63,18.5
27272,3.74,14.95
5063,0,10
57872,0,10
49758,27.55,94.75
6116,0,10
13208,17.82,29.7
45008,0,34
10326,0,57
29781,0,20
7959,27.55,69.3
17732,14,40
32718,27.55,94.75
33284,0,20
52899,0,20
43562,0,94.75
46850,0,25
27973,0,17
5259,0,10
32858,13.38,53.5
23191,0,94.75
48814,5.25,21
52488,0,20
50774,15,60
6176,12.25,35
53823,0,47
52522,0,18
22736,0,22
37812,0,62
47073,0,23
42057,15.5,62
60167,0,80
19812,0,51
35269,5.94,0
8182,0,78
58800,27.55,94.75
18744,0,87
32115,0,80
39695,13.63,54.5
41500,0,39
35023,0,62
24888,0,39
44042,5,20
42235,23.76,39.6
20986,0,23
9759,0,23
17014,9.1,26
29727,0,77
5618,27.55,94.75
45150,11.88,19.8
10572,9.57,29
8562,0,20
6480,0,16
35960,0,63
43513,27.55,94.75
53632,0,60
36187,0,33
36089,3.38,13.5
24465,0,47
12614,0,37
44002,12.54,33
3164,3.75,13.36
25302,27.55,0
48661,23.76,39.6
50196,8.38,33.5
30615,0,38
36931,3.38,13.5
12053,6,15
38160,0,94.75
45445,0,10
48982,27.55,94.75
54682,27.55,94.75
43789,0,19
44928,3.38,13.5
828,0,20
22982,0,13
44923,5,20
51516,27.55,49.5
10562,9.1,26
35307,0,37
61836,5,20
12247,6.75,27
44346,0,10
31301,0,37
13039,0,20
14199,0,23
1212,6.75,27
20160,0,29
50787,27.55,94.75
44,0,94.75
33638,25.13,94.75
36510,0,67
41321,0,13
14801,11.88,19.8
2767,0,20
2553,27.55,49.5
40721,0,10
45830,9.1,26
21129,0,36
57297,9.2,23
50511,0,68
41625,6.75,27
39777,0,10
27100,27.55,94.75
3243,0,15
17631,0,35
40374,6.3,18
111,7.7,22
52219,27.55,89.1
3403,12.4,31
41113,0,31
54991,27.55,94.75
36243,0,86
56264,9.57,29
54642,0,80
5874,0,20
1164,0,30
55922,27.55,94.75
62334,0,20
50716,10.5,30
43419,0,94.75
879,0,64
8321,5.06,20.25
3817,0,20
17272,7.7,22
28072,4.5,18
26096,0,26
18461,0,12
32696,18.13,72.5
1362,0,20
35804,0,20
7941,27.55,94.75
12579,0,30
31404,27.55,49.5
59,0,46
19889,27.55,94.75
30632,0,26
47961,17.5,50
2900,11.5,46
56478,8.38,33.5
50175,27.55,94.75
33293,0,20
25700,0,49
2976,0,43
51725,0,22
24763,27.55,69.3
41315,0,45
27391,0,48
23374,0,30
44213,9.1,26
49592,17.25,69
42940,0,10
56177,0,27
43870,21.6,86.4
18706,0,10
4851,0,24
780,27.55,94.75
23311,27.55,94.75
63173,0,12
57767,11.88,19.8
62139,23.76,39.6
37815,0,22
41078,27.55,0
34426,0,62
33009,9.1,26
2600,0,15
4442,0,48
32234,27.55,49.5
20634,0,10
18258,0,12
16516,0,33
53002,11.88,19.8
14840,0,35
58083,0,62
54386,27.55,0
412,4.39,17.55
43073,27.55,94.75
12691,9.57,29
57007,27.55,94.75
47410,27.55,94.75
13404,12.25,35
34435,0,25
38167,0,20
32204,10.5,42
60126,0,24
26958,0,92
13373,0,10
33106,0,27
12305,0,74
39984,0,24
1925,14.44,38
18072,0,20
53834,0,24
27199,0,21
10614,0,0
59848,22,88
39668,8.63,34.5
44112,0,94.75
52393,21.6,86.4
45437,0,32
54338,15,60
35934,0,20
19135,0,20
36296,27.55,59.4
9704,27.55,79.2
11408,7.7,22
30801,0,80
55829,0,35
37759,18,72
20601,0,50
549,0,17
50361,27.55,94.75
12389,0,22
31481,7.7,22
42689,0,94.75
19178,6.3,18
57158,12.5,50
30569,0,18
47476,0,33
56508,27.55,94.75
49862,0,24
34986,0,32
859,0,27
22007,0,20
43724,0,23
23965,27.55,49.5
28940,27.55,94.75
27979,0,55
58985,11.88,19.8
30156,27.55,94.75
50901,27.3,42
10534,0,20
9434,0,31
30167,27.55,69.3
20015,0,11
58993,27.55,69.3
21254,0,23
56257,7.7,22
13246,0,55
39501,27.55,94.75
32837,11.75,47
2574,0,20
56926,0,0
58175,15.75,45
28372,0,49
23073,6.3,18
37972,0,29
60632,12.13,48.5
9634,0,20
15083,0,30
7097,9.38,37.5
15550,0,94.75
7635,0,20
28318,8.38,33.5
30465,4.5,18
636,0,94.75
50589,0,31
28717,9.57,29
58222,7.38,29.5
17653,0,19
30778,0,62
43147,0,36
60309,0,20
60963,0,55
55726,5,20
9953,27.55,79.2
54930,17.23,26.5
53090,20,50
24933,6.3,18
6070,0,50
60782,17.82,29.7
39276,27.55,94.75
29304,0,29
14887,0,29
19573,0,19
51217,0,10
32406,9.13,36.5
37044,0,35
56497,15.5,62
21405,6,15
42154,0.31,1.09
12154,0,20
39798,0,20
25871,27.55,94.75
28634,0,20
4064,8.5,34
751,6.3,18
56343,0,20
21788,0,94.75
18882,0,37
54170,5,20
41164,0,57
24239,0,32
15462,0,10
45143,27.55,94.75
44257,27.55,94.75
30608,0,33
17511,1.8,6.43
40177,0,94.75
38284,5.75,23
45768,0,65
51754,0,10
15841,0,10
37785,17.82,29.7
14600,17.82,29.7
54169,5.25,21
37539,0,17
2714,9.1,26
29115,0,94.75
44832,0,27
5243,0,11
13065,0,64
42385,9.75,39
54652,0,76
13463,0,30
25156,17.82,29.7
52527,0,24
15927,0.5,1.8
46293,27.55,94.75
63228,27.55,94.75
820,0,45
11764,0,10
24798,0,43
61877,11.88,19.8
23472,0,10
13181,10.5,30
6724,17.82,29.7
50121,0,94.75
61054,27.55,94.75
38058,0,20
21072,0,0
51977,0,34
31998,11.55,33
2786,0,79
60152,0,23
2083,6.3,18
54426,0,71
1112,0,21
59922,0,43
8152,0,21
62312,0,10
51545,0,41
38976,11.75,47
26515,5.85,23.4
20988,0,30
33339,0,19
57150,27.55,94.75
30358,0,53
10347,0,30
50952,7.25,29
29285,0,33
44608,4.38,17.5
32743,27.55,69.3
711,0,19
2993,0,10
28089,10.13,40.5
19114,0,30
40914,27.55,69.3
53805,27.55,49.5
41115,0,36
52675,0,77
55990,0,34
2377,0,62
30909,5.94,0
54659,12.4,31
15670,0,15
13124,0,29
34239,0,69
12878,0,27
40116,0,94.75
52637,27.55,94.75
33491,0,20
233,11.55,33
17382,0,23
59964,0,21
59022,0,27
42010,10.5,30
38256,7.7,22
51803,27.55,94.75
39663,9.57,29
47234,21.6,86.4
2958,0,24
9415,0,12
13340,0,35
5837,0,20
53347,5,20
61380,27.55,48.5
27359,0,10
6268,0,94.75
24582,27.55,69.3
47558,5.25,21
60103,23.76,39.6
2317,0,12
40433,0,94.75
9893,9.1,26
51570,0,29
30999,6,15
19960,0,38
21255,0,72
15612,0,80
33345,0,20
11793,0,34
10244,0,47
10135,0,94.75
7099,13.65,54.6
10712,0,10
48041,23.76,39.6
55234,0,24
38233,6,15
61274,23.76,0
3005,0,18
41943,0,10
8555,0,20
10238,0,94.75
12888,0,14
6584,27.55,49.5
35372,0,20
20906,0,20
8405,0,47
53144,5.63,22.5
9505,17.82,29.7
49635,0,33
13859,0,15
10540,0,20
49503,0,15
12458,8.5,34
59399,27.55,49.5
52342,0,22
5939,0,20
2674,0,37
2526,10.5,30
22372,0,37
29001,0,11
20925,24.15,69
18578,27.55,89.1
55300,27.55,94.75
26162,0,80
56677,3.38,13.5
34958,0,20
31965,0,20
49600,23.76,39.6
6983,0,94.75
23659,0,44
58493,0,20
41510,0,53
6610,0,20
24579,17.82,0
22386,0,30
54601,0,10
16864,0,62
27098,6.01,24.05
15266,0,20
52679,0,94.75
42587,10.5,30
54093,0,15
13917,12.25,35
28624,0,20
8940,23.76,39.6
1695,0,16
6305,0,29
13883,0,14
20163,0,28
34600,27.55,0
56957,27.55,76.5
58272,0,20
16700,0,13
